 ,time,force,units, ,x ,y ,z, 
b',10494,4.38,lbs,\r\n'b',3436,3268,993,\r\n'
b',10582,4.41,lbs,\r\n'b',3438,3257,972,\r\n'
b',10670,4.431,lbs,\r\n'b',3439,3283,1011,\r\n'
b',10758,4.515,lbs,\r\n'b',3393,3333,886,\r\n'
b',10846,4.59,lbs,\r\n'b',3452,3304,994,\r\n'
b',10934,4.628,lbs,\r\n'b',3450,3279,1040,\r\n'
b',11022,4.72,lbs,\r\n'b',3456,3265,1032,\r\n'
b',11110,4.807,lbs,\r\n'b',3433,3284,961,\r\n'
b',11198,4.907,lbs,\r\n'b',3453,3277,1007,\r\n'
b',11286,5.019,lbs,\r\n'b',3430,3303,943,\r\n'
b',11374,5.097,lbs,\r\n'b',3434,3312,969,\r\n'
b',11462,5.215,lbs,\r\n'b',3457,3306,947,\r\n'
b',11550,5.366,lbs,\r\n'b',3478,3246,1142,\r\n'
b',11638,5.542,lbs,\r\n'b',3456,3287,986,\r\n'
b',11726,5.697,lbs,\r\n'b',3469,3251,1075,\r\n'
b',11814,5.83,lbs,\r\n'b',3496,3263,1082,\r\n'
b',11902,5.858,lbs,\r\n'b',3470,3299,961,\r\n'
b',11990,5.899,lbs,\r\n'b',3445,3292,981,\r\n'
b',12078,5.921,lbs,\r\n'b',3422,3279,916,\r\n'
b',12166,5.993,lbs,\r\n'b',3462,3264,1001,\r\n'
b',12254,6.068,lbs,\r\n'b',3462,3263,973,\r\n'
b',12342,6.113,lbs,\r\n'b',3474,3266,1005,\r\n'
b',12430,6.139,lbs,\r\n'b',3467,3256,1041,\r\n'
b',12518,6.272,lbs,\r\n'b',3470,3247,1014,\r\n'
b',12606,6.401,lbs,\r\n'b',3487,3272,1075,\r\n'
b',12694,6.551,lbs,\r\n'b',3473,3254,1063,\r\n'
b',12782,6.71,lbs,\r\n'b',3484,3270,1042,\r\n'
b',12870,6.922,lbs,\r\n'b',3474,3304,1076,\r\n'
b',12958,6.991,lbs,\r\n'b',3486,3278,1064,\r\n'
b',13046,6.987,lbs,\r\n'b',3494,3251,1067,\r\n'
b',13134,6.995,lbs,\r\n'b',3458,3273,1035,\r\n'
b',13222,6.983,lbs,\r\n'b',3491,3288,1063,\r\n'
b',13310,7.098,lbs,\r\n'b',3423,3263,1013,\r\n'
b',13398,7.123,lbs,\r\n'b',3480,3268,1104,\r\n'
b',13486,7.044,lbs,\r\n'b',3456,3288,1014,\r\n'
b',13574,7.005,lbs,\r\n'b',3464,3294,1056,\r\n'
b',13662,6.856,lbs,\r\n'b',3471,3275,1061,\r\n'
