 ,time,force,units, ,x ,y ,z, 
b'.33,,-842,-34,76,772,56,-699,24,793,-84,307.56,-80.94,28.56, 11087,-5471,9262,5459,125,38,-58,-968,-73,135,,\r\n'
b',2081, 4209,435,79.33,,-842,-34,76,772,56,-699,24,793,-84,307.56,-80.94,28.56, 11087,-5471,9262,5459,125,38,-58,-968,-73,135,,\r\n'
b',27,1.568,lbs,\r\n'b',92,1.550,lbs,\r\n'b',157,1.529,lbs,\r\n'b',222,1.528,lbs,\r\n'b',287,1.520,lbs,\r\n'b',352,1.477,lbs,\r\n'b',417,1.470,lbs,\r\n'b',482,1.555,lbs,\r\n'b',547,1.404,lbs,\r\n'b',612,1.358,lbs,\r\n'b',677,1.473,lbs,\r\n'b',742,1.435,lbs,\r\n'b',807,1.488,lbs,\r\n'b',872,1.594,lbs,\r\n'b',937,1.559,lbs,\r\n'b',1002,1.483,lbs,\r\n'b',1067,1.437,lbs,\r\n'b',1132,1.430,lbs,\r\n'b',1197,1.476,lbs,\r\n'b',1262,1.390,lbs,\r\n'b',1327,1.321,lbs,\r\n'b',1392,1.401,lbs,\r\n'b',1457,1.651,lbs,\r\n'b',1522,1.529,lbs,\r\n'b',1587,1.475,lbs,\r\n'b',1652,1.443,lbs,\r\n'b',1717,1.439,lbs,\r\n'b',1782,1.524,lbs,\r\n'b',1847,1.515,lbs,\r\n'b',1912,1.416,lbs,\r\n'b',1977,1.446,lbs,\r\n'b',2042,1.442,lbs,\r\n'b',2107,1.373,lbs,\r\n'b',2172,1.426,lbs,\r\n'b',2237,1.489,lbs,\r\n'b',2302,1.479,lbs,\r\n'b',1862, 4149,872,77.53,,-912,-128,182,777,-38,-772,41,-718,10,307.75,-70.94,12.25, 11943,-4829,8257,5857,14,-60,-129,-927,-68,312,,\r\n'
b',3277,1.568,lbs,\r\n'b',1871, 4152,660,77.61,,-1127,-59,345,784,-32,-771,8,-22,-31,308.38,-75.19,13.88, 11651,-4936,8754,5628,-179,0,102,-948,-60,242,,\r\n'
b',3342,1.545,lbs,\r\n'b',1902, 4145,981,77.76,,-1112,-45,257,812,-43,-752,-56,-277,37,308.06,-73.87,12.63, 11744,-4882,8604,5715,-128,-3,23,-942,-59,260,,\r\n'
b',3407,1.491,lbs,\r\n'b',1968, 4205,935,78.59,,-923,-63,204,796,-54,-764,-24,-21,-5,308.00,-73.62,12.56, 11757,-4878,8580,5727,18,-16,-34,-941,-59,268,,\r\n'
b',3472,1.441,lbs,\r\n'b',1822, 4244,2266,77.88,,-847,-66,246,761,-76,-764,22,304,-29,308.06,-74.25,13.19, 11710,-4916,8639,5702,96,-5,-12,-943,-60,258,,\r\n'
b',3537,1.435,lbs,\r\n'b',1796, 4255,2105,77.79,,-819,-66,309,761,-83,-739,-43,63,28,308.00,-74.94,13.56, 11651,-4951,8711,5682,127,-6,39,-947,-59,247,,\r\n'
b',3602,1.408,lbs,\r\n'b',1800, 4258,2122,77.83,,-865,-80,238,748,-83,-712,-23,-113,22,307.81,-74.62,13.00, 11673,-4932,8669,5719,55,-12,-11,-945,-58,253,,\r\n'
b',3667,1.417,lbs,\r\n'b',1794, 4230,2045,77.59,,-895,-49,196,737,-89,-726,0,-418,27,307.69,-73.50,12.06, 11752,-4879,8556,5772,44,8,-75,-940,-58,271,,\r\n'
b',3732,1.476,lbs,\r\n'b',1767, 4207,1951,77.27,,-932,-89,193,726,-96,-739,30,-574,-80,307.75,-71.50,11.25, 11910,-4788,8379,5829,-2,-28,-110,-930,-60,304,,\r\n'
b',3798,1.561,lbs,\r\n'b',1685, 4172,1861,76.56,,-878,-65,411,713,-100,-752,14,-729,-44,308.19,-68.37,10.56, 12161,-4638,8057,5892,15,-1,20,-911,-66,354,,\r\n'
b',3863,1.637,lbs,\r\n'b',1614, 4177,384,76.10,,-899,-97,517,644,-96,-796,13,-541,8,308.06,-66.25,9.69, 12313,-4523,7779,5989,-1,-30,128,-897,-66,389,,\r\n'
b',3928,1.690,lbs,\r\n'b',3993,1.711,lbs,\r\n'b',1613, 4151,1588,75.92,,-902,-141,540,625,-89,-832,-27,-653,-30,307.94,-63.75,8.88, 12481,-4396,7501,6088,-22,-73,112,-879,-67,428,,\r\n'
b',4058,2.086,lbs,\r\n'b',1843, 4155,240,77.42,,-1021,72,477,555,-96,-849,-25,-391,-23,307.81,-61.56,8.75, 12620,-4314,7242,6172,-84,152,22,-862,-71,461,,\r\n'
b',4123,2.350,lbs,\r\n'b',1985, 4133,523,78.24,,-1311,130,576,526,-96,-876,64,-2297,11,307.69,-56.50,7.50, 12933,-4032,6681,6347,-493,201,40,-818,-71,535,,\r\n'
