Index,Time,Difference,Hz,AveHz,Pressure,Acceleration-X,Acceleration-Y,Acceleration-Z,Magnetic-X,Magnetic-Y,Magnetic-Z,Angular-Vel-X,Angular-Vel-Y,Angular-Vel-Z,Heading,Roll,Pitch,Quaternion-X,Quaternion-Y,Quaternion-Z,Quaternion-W,Linear-Acceleration-X,Linear-Acceleration-Y,Linear-Acceleration-Z,Gravity-X,Gravity-Y,Gravity-Z,Position-X,Position-Y,Position-Z
29,1.8929827213287354,0.06844878196716309,14.609463766349117,15.319738354317424,2.470679625702838e-38,-87.0,977.0,-126.0,30.25,25.75,2.25,9.75,2.3125,-4.4375,270.625,-7.4375,-97.8125,0.46197509765625,0.59527587890625,0.462158203125,0.467529296875,34.0,11.0,18.0,-127.0,963.0,-133.0,267,2613,1298,
30,1.9605281352996826,0.06754541397094727,14.804854115338186,15.301999221456853,2.470679625702838e-38,-116.0,973.0,-143.0,29.875,26.0625,0.5,4.375,9.0,-3.0,270.4375,-7.5,-98.1875,0.46136474609375,0.5985107421875,0.46112060546875,0.46502685546875,12.0,11.0,-4.0,-128.0,962.0,-139.0,294,2618,1356,
31,2.0311429500579834,0.07061481475830078,14.16133432372206,15.262342810049404,2.4687424707057553e-38,-125.0,985.0,-151.0,30.25,27.5625,0.875,-6.0,12.3125,-0.5,269.5,-7.4375,-98.1875,0.45703125,0.601806640625,0.4649658203125,0.46124267578125,-11.0,22.0,-10.0,-127.0,962.0,-139.0,308,2602,1407,
32,2.101219415664673,0.07007646560668945,14.270126087873654,15.229252005496784,2.4687424707057553e-38,-140.0,957.0,-127.0,30.25,26.5,2.25,-7.0,9.625,-0.9375,268.75,-7.375,-97.8125,0.45233154296875,0.60260009765625,0.46990966796875,0.4598388671875,-14.0,-6.0,4.0,-126.0,963.0,-132.0,324,2574,1437,
33,2.174166440963745,0.07294702529907227,13.708578189448362,15.17823078226341,2.4687424707057553e-38,-170.0,997.0,-120.0,30.25,26.0625,3.5625,-11.3125,10.3125,-0.375,267.875,-7.3125,-97.1875,0.4461669921875,0.60260009765625,0.47637939453125,0.45916748046875,-58.0,17.0,-14.0,-125.0,964.0,-122.0,329,2585,1491,
34,2.2423136234283447,0.06814718246459961,14.674120981002694,15.162910149926448,2.4687424707057553e-38,-174.0,942.0,-128.0,31.75,26.5,3.0625,-5.1875,-3.1875,1.0,267.6875,-7.25,-96.625,0.4439697265625,0.600341796875,0.479736328125,0.4608154296875,-43.0,-27.0,-7.0,-124.0,966.0,-112.0,342,2581,1548,
35,2.3146283626556396,0.07231473922729492,13.828439550295078,15.121217973775925,2.4687424707057553e-38,-171.0,944.0,-102.0,31.375,27.25,2.6875,-2.75,-6.8125,1.1875,268.3125,-7.5,-96.4375,0.44476318359375,0.598388671875,0.4779052734375,0.4644775390625,-42.0,-21.0,6.0,-128.0,966.0,-110.0,344,2540,1587,
36,2.382178783416748,0.0675504207611084,14.803756789857657,15.112215863313738,2.4707513721842113e-38,-147.0,953.0,-120.0,31.375,26.0625,2.6875,2.5625,-3.875,3.5,268.625,-7.4375,-96.4375,0.44647216796875,0.59710693359375,0.4766845703125,0.4656982421875,-15.0,-10.0,-1.0,-127.0,966.0,-110.0,355,2496,1655,
37,2.449284076690674,0.06710529327392578,14.901954096496837,15.106455127896877,2.4707513721842113e-38,-168.0,961.0,-113.0,31.375,26.0625,3.0625,1.375,-1.375,1.125,268.75,-7.4375,-96.5625,0.44775390625,0.59710693359375,0.47564697265625,0.46563720703125,-41.0,-4.0,-1.0,-127.0,965.0,-111.0,349,2451,1694,
38,2.5144827365875244,0.06519865989685059,15.337738560609662,15.112452134617108,2.4707513721842113e-38,-149.0,953.0,-112.0,31.0625,26.5,3.0625,5.1875,-1.6875,0.3125,269.0,-7.5,-96.75,0.44873046875,0.59759521484375,0.47393798828125,0.4658203125,-20.0,-11.0,1.0,-128.0,965.0,-114.0,356,2410,1750,
39,2.582608938217163,0.06812620162963867,14.678640171903325,15.101008682686057,2.4707513721842113e-38,-153.0,974.0,-133.0,31.375,26.875,3.0625,5.9375,-1.75,-1.5625,269.25,-7.625,-97.125,0.45025634765625,0.599365234375,0.470947265625,0.465087890625,-23.0,10.0,-12.0,-130.0,964.0,-121.0,360,2376,1757,
40,2.6489837169647217,0.0663747787475586,15.065963591430911,15.100130568500852,2.4707513721842113e-38,-141.0,972.0,-129.0,31.375,27.5625,3.0625,5.9375,-6.4375,-0.0625,269.6875,-7.75,-97.5625,0.45281982421875,0.6002197265625,0.46722412109375,0.4652099609375,-8.0,9.0,-1.0,-132.0,963.0,-128.0,358,2353,1709,
41,2.717395544052124,0.06841182708740234,14.617355544713181,15.08797645957042,2.4707513721842113e-38,-118.0,968.0,-138.0,31.0625,26.5,2.6875,6.3125,-5.0625,0.375,270.1875,-7.8125,-97.9375,0.45611572265625,0.600341796875,0.4635009765625,0.46551513671875,15.0,6.0,-3.0,-133.0,962.0,-134.0,351,2362,1718,
