Index,Time,Difference,Hz,AveHz,0x6104 Angular-Vel-X,0x6104 Angular-Vel-Y,0x6104 Angular-Vel-Z,0x6104 Range,0x6104 Smoothed Range,0x6104 Velocity,
845,42.9449679851532,0.050994873046875,19.6098144823459,19.67634485819458,-0.25,5.375,0.1875,231,231.0,-921.6612806702574,
846,42.98996353149414,0.04499554634094238,22.224421777718902,19.67901180888945,-0.1875,5.4375,0.1875,240,240.0,200.01979599947012,
847,43.03895854949951,0.048995018005371094,20.410238442822383,19.679844228243983,-0.3125,5.5,0.3125,198,198.0,-857.2300145985402,
848,43.08695387840271,0.04799532890319824,20.835360916411254,19.681131378959215,-0.375,5.375,0.125,189,189.0,-187.51824824770128,
849,43.13494896888733,0.04799509048461914,20.835464417354675,19.68241577409475,-0.1875,5.125,0.125,179,179.0,-208.35464417354675,
850,43.18094444274902,0.045995473861694336,21.741269652030127,19.684608823851992,-0.1875,5.0625,0.25,189,189.0,217.41269652030127,
851,43.23893857002258,0.05799412727355957,17.24312524409546,19.681334189595383,0.3125,4.6875,-0.125,71,71.0,-2034.688778803264,
852,43.28693389892578,0.04799532890319824,20.835360916411254,19.68261374181421,0.25,4.6875,0.0,142,142.0,1479.310625065199,
853,43.337928771972656,0.050994873046875,19.6098144823459,19.68252808038323,0.0,4.3125,-0.25,118,118.0,-470.63554757630163,
854,43.38792371749878,0.04999494552612305,20.002021993953093,19.682896226158277,0.25,4.0625,-0.0625,114,114.0,-80.00808797581237,
855,43.443918228149414,0.055994510650634766,17.858893459026305,19.680545283919724,0.375,3.625,-0.5,109,109.0,-89.29446729513153,
856,43.496912717819214,0.052994489669799805,18.86988640197953,19.679557617185225,0.5625,3.375,-0.4375,71,71.0,-717.0556832752221,
857,43.54390811920166,0.04699540138244629,21.278677712784038,19.68128349099852,0.3125,2.9375,-0.1875,95,95.0,510.6882651068169,
858,43.59390306472778,0.04999494552612305,20.002021993953093,19.68165132463708,0.25,2.3125,-0.375,90,90.0,-100.01010996976547,
859,43.64489817619324,0.0509951114654541,19.609722800144,19.68156728266935,0.3125,1.625,-0.4375,85,85.0,-98.04861400072,
860,43.691893339157104,0.04699516296386719,21.278785665002637,19.683285256701375,0.3125,1.0,-0.4375,53,53.0,-680.9211412800844,
861,43.73888850212097,0.04699516296386719,21.278785665002637,19.68499953898574,0.5625,0.6875,-0.5625,81,81.0,595.8059986200739,
862,43.78988337516785,0.050994873046875,19.6098144823459,19.684911983319388,0.625,0.25,-0.4375,104,104.0,451.0257330939557,
